ip,ip_risk,is_known_bad
10.115.225.114,0.05212898897757531,0
10.124.130.14,0.2736077667314147,0
10.57.5.135,0.09246635951525367,0
10.68.247.142,0.15408180299029867,0
10.130.118.97,0.159558921388468,0
10.186.168.170,0.24036696354192555,0
10.221.205.180,0.1442955487190318,0
10.55.14.48,0.03764278201257357,0
10.105.178.155,0.2671532887895677,0
10.229.186.85,0.4634966432529222,0
10.105.218.32,0.27569323915815486,0
10.239.123.20,0.12803591235227557,0
10.131.59.21,0.225370718981275,0
10.29.225.249,0.0,0
10.63.176.93,0.22211945009222706,0
10.171.141.225,0.16992912618190542,0
10.248.219.177,0.06330792839869756,0
10.108.85.182,0.0995803295336064,0
10.245.146.69,0.16795309969207062,0
10.101.159.43,0.4484916552012982,0
10.40.225.234,0.4684120833560186,0
10.80.156.218,0.06437496768843787,0
10.174.243.175,0.1463845253513213,0
10.190.200.213,0.15148200854228439,0
10.178.159.143,0.41190910311002493,0
10.49.137.124,0.27910131052632337,0
10.60.20.16,0.26855797252820834,0
10.151.124.246,0.3572525226842379,0
10.196.11.8,0.1307173183178137,0
10.179.123.75,0.5227773148708115,0
10.215.99.206,0.2496510685159597,0
10.130.138.0,0.07881751076161736,0
10.214.47.148,0.204071951240432,0
10.175.87.209,0.4963856648415744,0
10.175.43.79,0.16497157280324554,0
10.44.183.195,0.43991155980896635,0
10.81.38.245,0.12493084144569569,0
10.63.251.190,0.09686726064453874,0
10.96.157.235,0.3819194821188584,0
10.233.27.79,0.07520548787085182,0
10.89.165.234,0.41450805003233915,0
10.247.114.175,0.3203251998046699,0
10.130.140.92,0.07528121310648161,0
10.92.92.194,0.23571145120113318,0
10.224.29.216,0.1402451418880925,0
10.57.179.96,0.31979531133381195,0
10.20.172.17,0.627559648991084,1
10.184.190.45,0.17585907942251552,1
10.177.160.152,0.3567552547717014,0
10.30.243.171,0.2548881283335032,0
10.201.23.183,0.25481154061263606,0
10.78.69.240,0.21695897585369522,0
10.239.42.74,0.07851651072968918,0
10.3.145.167,0.317027989856491,0
10.209.128.66,0.1922516500161223,0
10.220.127.24,0.0690399832522548,0
10.82.88.59,0.4528346524496597,0
10.176.205.141,0.2698019245404686,0
10.124.188.130,0.20438020853135214,0
10.118.130.192,0.5180113229492596,1
10.149.188.192,0.0,0
10.254.231.23,0.5045641607458178,0
10.32.115.120,0.07396241017275654,0
10.57.176.181,0.29230650788310397,0
10.85.183.226,0.13238724917585776,0
10.163.110.180,0.06539979190951523,0
10.116.213.207,0.512777305193687,0
10.43.83.11,0.6212433134790569,0
10.154.9.44,0.20575486986978428,0
10.17.161.113,0.317094940438859,0
10.203.28.172,0.26139825033249997,0
10.165.199.86,0.5961013674705711,0
10.182.20.217,0.0,0
10.58.159.50,0.325424688254044,0
10.32.120.109,0.1045747371712133,0
10.7.198.215,0.0,0
10.238.139.53,0.17789398051415178,0
